,0
427,[2579 3633  659   48 3136 2144 2422 4583 2281 1888]
428,[4583 2579 5027 1588   48 5423 8943 2010 7584 4390]
429,[4583 3633 2422 5192 4115 2579 4077 4131 4235 1888]
430,[1887 2579   48 1648 4384 2451 3633 3168 1349 2661]
431,[4583 8943 2579 1588 5027 5423 4115 7584 4390   87]
432,[1887 2144 2052 2579   48 2593 7603 2501 1721 1706]
433,[ 659 3633 2579 1297 2941 2422 2144 1888 3136   48]
434,[4583 2579 1887   48 5027 2010 1588 2593 4390 5423]
435,[4583 2579 5027   48 1887  923 3168 2010 1349 4384]
436,[4583 2579   48 1887 5027 3633 3168 2593 2422 4384]
437,[2579   48 4583 5027 1887 3168 3633 2281 1588 5423]
438,[4583 1887 2579 1310   87 3633 2451 4390   48 1648]
439,[3633 2579   48 4583 1349 5192 3168 2422 1648 2451]
440,[1887 2579 4583   48 2593 4384 2010 5027 1648 2451]
441,[ 474 1297 2144   48 3168 3136 2579 2235 1721  659]
442,[3633 2579   48 8821 2422 4235 3168 2281 2941 3136]
443,[  48 2579 3168 3136 3633 2144 5027  659 2281  474]
444,[2579 3633   48  659 4583 2422 3136 3168 1888 2661]
445,[2579   48 3168 1887 5027 4384 4583 1349 3633 3136]
446,[4583 1887 5027 2579 2010   48 1588 2593 5423 4390]
447,[4583 2579   48 1887 5027 3633 2422 3168 2010 1349]
448,[2579   48  659 2144 3168 3136 3633 1887 4583 2661]
449,[4583 1887 2579 4390   87 1588 2010 8943 2046 5192]
450,[4583 2579   48 2144 1588 2281 1887 5027 2277 5423]
451,[4583 1887 2579 2010 5027 2046   48 5192 1349  923]
452,[4583 2579   48 5027 1887 3633 1349 4115 2422 2010]
453,[4583 2579 1887 2144 1588   48  659 2281 4390 2052]
454,[4583 5192 4115 3633 2579 2422 8943 1349   48   87]
455,[4583 5027 2579   48  923 2010 8943 7584 5423 4115]
456,[  48 2579 3168 5027 1349 3633 4583 4115 4235  923]
457,[4583 8943 5192 2046 2890 3500   87 4390 1310 2350]
458,[5027 2579 4583   48 5423 1887 2010 2052 1588 2277]
459,[4583 2579   48 1887 1588   87 4390 2422 5027 3633]
460,[  48 4235 3168 5027 2579 2114  923 4115 3633 1349]
461,[4583 2579   48 3633 2422  659 2281 1888 1887 2224]
462,[1887 4583 2579   48 2593 4384 1648 2010 2451 4390]
463,[4583 2579 8943 4115 2422 1588 5192   87 5027   48]
464,[3633 2579   48 4583 2422 3168  659 3136 1888 2661]
465,[4583 1887 5027 2010 2350 2579 2593  923 4390   48]
466,[1887 1648 4089 2451 1289 1959 2199 1164 5015  266]
467,[2579   48 4583 1887 5027 3168 1349 4384 2010  923]
468,[2579   48 1887 4583 3633 3168  659 4384 2593 5027]
469,[4583  923 5027 8943 2579 2010 5192 1887 4115 2350]
470,[2579   48 1887 2144 4583  659 3168 2052 3136 2593]
471,[4583 1887 2046   87 4390 5192 8943 1310 2010 2890]
472,[1887 4583 2593 2579   48 4390 2010 4384 2052   87]
473,[4583 2579 1887   48 5027 2010 1588 4390 2593   87]
474,[4583 5027 2579   48  923 2010 5423 7584 8943 4115]
475,[2579 4583   48 3633 2422 3168 2281 5027 4115 2224]
476,[4583 2579   48 1887 3633 2422 5027 3168 4384 1349]
477,[4583 8943 4115  923 7584 5027 5423 5192 2350 2579]
478,[  48 2579 3168 2144 3136 1887  474  659 5027 1721]
479,[4583 2579 1887   48 3633 2422 2451 1648 4384 5192]
480,[2579   48 3168 4583 5027 3633 1349 2422 1887 2224]
481,[ 923 1349 4115 5027 2967 3446 4583 4235 8943 2114]
482,[4583 2579   48 5027 1887 3168 3633 2422 2281 1588]
483,[4583 1887 5192 2046 1648 1310   87 4390 2579 2451]
484,[4583 5192  923 4115 8943 1349 3446 2890 1797 2967]
485,[4583 5192 4115 3633 2422 8943 2890 1349 4077 2579]
486,[5192 1797 3633 1349 1648 2591 2589 4077 2735  557]
487,[2579   48 4583 1887 3633 3168 5027 4384  659 2422]
488,[4583  659 3633 9152  481 2422 1588 2281 2144 2579]
489,[2579   48 3633 3168 4583 1887 4384 1349 2422 2661]
490,[4583 1887 2579   48 5027 2010 4384 2593 1349 4390]
491,[4583 1887 2010 2046 2579 5192 4384 5027 2593 1349]
492,[4583 3633 2422 4115 4235 5192 5277 1110 2520 4131]
493,[4583 2579   48 3633 1887 5027 3168 2422 1349 1938]
494,[4583 1887 2579 1588 2593 4390 2052   48   87 2010]
495,[  48 2579 3168 3633 3136 5027 1349 2661 2422 4384]
496,[5027 1887 4583 2579   48 2052 2010 5423 2593 1588]
497,[4583 8943 3500 1588   87 4390 2520 2046 5192 2890]
498,[2579 4583   48 1887 5027 2052 1588 2144 2281 2593]
499,[  48 2144 2579 8821 3168 4040 5423 5027 3063 1493]
500,[4583 8943 3500 2046 1588 4390   87 1887 2350 2010]
501,[8821 2941 3633 3745 6250 4235 7686 5567 9600 4040]
502,[4583 2144 2579 1588 2281 2277   48 2052 5423 1887]
503,[4583 2579   48 3633 4115 1349 2422 5192 5027 3168]
504,[4583 1887 2579 1588   87 4390 1310  659 3633 2422]
505,[5027 4583 2579   48  923 2010 1887 3168 5423 7584]
506,[4583  923 5027 2010 2350 8943 1887 1349 2046 2579]
507,[8943 4583 2890 8923 5192 4020 6103 4965 3446 2046]
508,[4583 1887 2579   48 5027 2593 4384 2010 4390 3168]
509,[  48 2579  659 1297 3136  474 3168 2661 3633 2144]
510,[4583 1887 2579   48 3633 2451 2593 1648 2422 4390]
511,[4583 1887 2579 2593 1588 4390 2052   87   48 2010]
512,[2579 4583 1887 3633   48 1648 2451 4384 5192 2422]
513,[2579   48 1887 4583 5027 3168 2010 2593 4384 1349]
514,[4583 2579   48 1887 3633 3168 4384 5027 1349 2010]
515,[  48 2579 3168 1349 4583 5027  923 4384 1887 4115]
516,[2307 2735 4774 1797 1349 5890 3633 3644 1159 8097]
517,[4583 5423 2281 2579 1588 2422 4235 4115 3633 8943]
518,[4583 1588 2579 1887 4390 2277   48 5423 5027   87]
519,[2579 4583   48 5027 1887 3168 3633 1349 2010 2422]
520,[4583 2579 1588   48 2281 5423 2277 5027 2144 2052]
521,[4583  659 3633 2579 2422   48 2144 1888  481 1887]
522,[4583 2579   48 5027 4115 1588 2010 1887 2422 8943]
523,[4583 2579   48 1887 1349 5027 3633 5192 4384 2010]
524,[4583 2579   48 1887 5027 1588 3633 2422 4390   87]
525,[4583 1887 2579   48 4390   87 2593 3633 1588 1310]
526,[1887 2579 4583   48 5027 2010 2593 3168 4384 4390]
527,[3633 4583 5192 2422 4115 4077 4131 2579 4235 1349]
528,[3633 5192 1349 4115 2422 1797 4583 4235 2589   48]
529,[4583 1887 2593 4390 2046 2579 1310   87 2010 1648]
530,[4583 3633 2422 2281 2579 5277 4115 1588 4235 1888]
531,[1887 2579   48 5027 4583 3168 4384 2593 2010 2052]
532,[1887 4583 5027 2010 2579 2593   48 4384 4390 2052]
533,[4583 5027 2579   48 1887 2010 5423  923 1588 7584]
534,[ 659 9152  481 4583 2595 3633 3481 2144 3039 2422]
535,[4583 1588 2052 1887 2277 4390 2593 2761 2707 5423]
536,[1887 4583 2010 4384 5027 2046 2593 2579 1267  923]
537,[4583 1588 2281 2422 8943 5277 2520   87 5423 2579]
538,[1887 2579   48 4583 2593 2052 4384 5027 2144 3168]
539,[1887 4583 2579 2593 5027 2010   48 4390 4384 1588]
540,[4583 3633 2579   48 2422 4115 5192 1349 4235 4131]
541,[4583 5423 8943 3276  554 2520 2959  583 2834 4235]
542,[1887 2046 4583 7677 2010 2593 2350 1267 2332 4390]
543,[5027 4583 1887 2579 5423 2052 2010   48 1588 2277]
544,[4583 1887 5027 2579 2010   48 2593 1588 4390 5423]
545,[3633 2941 3136   48 2661 3168 2579  659 1297 2422]
546,[ 659 3633 1297 2661 2579 3136 2941   48 2595 1888]
547,[4583 1887 2010 2579 2593 5027 4390 2046   48   87]
548,[1887 4384 1797 2010 1349 1267 1648 2579   48 5027]
549,[4583 2579   48 1887 1588 2281 4390 3633 2422   87]
550,[4583 1887 1588 2052 4390 2593 6427 2010 2350 3500]
551,[2579  659 3633   48 2144 4583 2281 8821 2422 3136]
552,[4583 2579 3633 2422   48 5192 1887 4115 1888 1938]
553,[4583 2046 1887 7677 2350 2010 2890 8943 3500 4032]
554,[4583 1887 1310 2579   87 4390 1648 2451 2593 2046]
555,[1887 2579 4583 5027   48 2010 2593 4384 3168  923]
556,[1887 5027 6427 2010 4583 2350 2593  923 2052 5423]
557,[3633   48 2941 2579 2422 3136 3168  659 2661 4131]
558,[4583 2579   48 3633 2281 2422 5027 1588 2224 5423]
559,[4583 2579 1887   48 3633 2422 4390 2593 1588   87]
560,[2579 4583   48 3633 1887  659 2422 2451 2661 1888]
561,[4583 1887 2010 2579 5027 2593 4390 1588   48   87]
562,[4583 2579   48 1887 3633 5027 1349 2422 2010 4384]
563,[4583 2579 1887   48 5027 1349 2010  923 4384 3168]
564,[4583 3633 2579   48 2422 1888  659 4115 2281 4131]
565,[4583 8943 2350 1588 2010 4390 3500 2046   87 1887]
566,[4583  659 2595 9152 3633 2422 4077 1289  481 2186]
567,[  48 2579 3168 5027 4583 1349 1887 4384  923 5476]
568,[4583 8943 2350 1588 2010 4390 2046 3500   87 2890]
569,[4583 2579   48 1887 5027 2010 1349 4390 2593 3633]
570,[1887 1648 2046 1267 7677 4048 2593 4384 4089 4965]
571,[2144 2579  659 4583   48 1887 2281 3633 2052  257]
572,[4583 1887 2579   48 1349 4384 5192 1648 3633 2010]
573,[4583 1887 2579 5027 2010 2593   48 4390 1588   87]
574,[2144 2579 1887 2052 4583   48 1588 2593 2277 1706]
575,[4583 2281 2422 3633 2579 8821 1588 5423 4235 2959]
576,[4583 3633 2579 5192 2422   48 4115 1887 2451 1938]
577,[1887 4583 2052 2593 1588 2579 4390 2010 5027 2277]
578,[4583 1887 5027 2052 1588 2010 5423 2579 2593 2277]
579,[4583 1887 2579   48 5027 2010 4384 2593 1349  923]
580,[4583 2579   48 5027 1887 2010 3168 3633 1588 1349]
581,[1887 4583 2593 2579 2010 4390 2046 4384   87   48]
582,[4583 3633 2579 5192 2422   48 4115 1349 1648 2451]
583,[4583 8943 6103 8923 3500 2520 4115 2834 5192 6896]
584,[4583 1887 2579 1588 4390   87 1310 2593 2010 2422]
585,[4583 1887 5027 2579 2010   48  923 4384 2593 1349]
586,[4583 1887 6427 1588 2052 2010 2350 2593 4390 5027]
587,[2579 4583 2144   48 2281  659 8821 3633 1588 2422]
588,[4583 1887 2579 4390   87 1310 2593 2046 1588 1648]
589,[2579 4583   48 3633 2422 1887 3168  659 1888 1938]
590,[1887 4583 2593 2010 5027 4390 2046 2579 2052 1588]
591,[3168   48 1349 2579 5027 4384  923 1797 1887 1758]
592,[ 659 3633 2941 2422 9152 2595 1297 1888 4583  481]
593,[5822  923 8943  583 2590 3456  554 5027 6782 6229]
594,[4583 2422 3633 5192 4115   87 2579 8943 5277 1588]
595,[2579   48 4583 1887 3168 5027 4384 3633 1349 2593]
596,[2579   48 1887 4583 3168 3633 5027 4384 2593 2451]
597,[4583 1588 2277 5423 3500 2761 2052 4390 8943 2707]
598,[2579 4583   48 3633 3168 2422 1887 1349 5027 1938]
599,[4583  659 3633 2422 2281 2579 1588 1888 9152  481]
600,[4583 2579   48 5027 1887 3168 2010 3633 1349 1588]
601,[2579   48 4583 3633 2281 2422 8821 3168 4235 5027]
602,[2579   48  659 4583 3633 2144 2281 2422 1887 3136]
603,[4583 1588   87 8943 4390 1310 5192 2046 2579 2422]
604,[4583 1887 2579   48 5027 2010 1349 4384 2593  923]
605,[4583 2579 3633 2422   48 1887 1588   87 4390 2281]
606,[4583 1887 2010 2046 2593 4390 2350 5027   87 2579]
607,[4583 5027 2579   48  923 2010 3168 1887 5423 7584]
608,[4583 3633 2579 2422   87 1588 2281   48 5192 4115]
609,[4583 2579   48 3633 2422 1887 4115 5027 1938 5192]
